code	base	pass2_blocks	pass3_blocks	user2	user3	subset_ok	status
A	20448e1f-de7f-4577-b03e-55c2ce0ba764	873	840	41	38	1	OK
A	25c842ba-8c2f-49c7-8a9c-b4882f5c11f5	15	3	1	1	1	OK
A	2876ecf1-d813-45be-9511-b9b33dde61c0	3	1	2	1	1	OK
A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	5183	4720	234	213	1	OK
A	3e44d208-f851-46a7-8af2-255cc8a8e4d8	146	143	17	16	1	OK
A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	2359	2140	115	114	1	OK
A	84ad9997-4bbf-4945-b4f8-e23936415870	19	19	1	1	1	OK
A	84d7981e-264a-49f7-a8cf-88499c35cdca	175	151	14	14	1	OK
A	8ebe0853-dce5-49d1-8144-91bba44793cc	5	0	4	0	1	OK
A	fb685fff-28ed-468f-9900-b65d4ba6df1e	29	29	1	1	1	OK
B	08c0fcfc-af31-4315-b63f-2a9bc979f660	14	12	5	4	1	OK
B	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	0	0	0	0	1	NA_empty
B	a3cba1c5-60e6-45c0-adf4-905c62a95d88	2	0	1	0	1	OK
B	d1c3d2e6-d85a-46e0-9542-58d9fb55c4a2	10	5	2	2	1	OK
C	00839156-1bc1-4b2d-896f-d0771e7ad688	32	25	6	4	1	OK
C	01ec31ad-f74d-4306-afd7-61163b47136f	2	2	1	1	1	OK
C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	11594	8166	768	753	1	OK
C	03ef17ea-fe3a-43cb-a8f8-e30d5e36e952	806	603	83	77	1	OK
C	0564428e-ed59-440b-a850-546fcb29a168	630	580	57	32	1	OK
C	0b29d15c-1b75-47d9-9a63-ec8ff0ada889	2	2	1	1	1	OK
C	0bca339d-6a87-4a76-9271-9cddd9ef5803	107	35	15	12	1	OK
C	0c8b80bd-e0fc-4666-8822-68735db400f4	2535	1219	59	59	1	OK
C	0ec580cf-bc0d-4a67-a9aa-cf4bb946280e	4	1	3	1	1	OK
C	10aedc0c-cf83-4041-b7bb-6cee81ab27dc	1090	614	34	31	1	OK
C	110c1190-82aa-4b23-84a1-7600796c5a83	45	21	9	7	1	OK
C	1535f738-8602-4408-871e-7ca21d444904	614	533	71	71	1	OK
C	15655181-d856-4044-b5dd-7b9bcaddf353	50	32	2	1	1	OK
C	1a61398e-000b-44ca-a571-574de1ae9b73	532	525	24	23	1	OK
C	1c3d2b50-6cd3-44d9-b05c-b0082f565b51	1043	872	31	31	1	OK
C	2243fda0-7fa6-4283-b6af-13506d834ee2	3	0	2	0	1	OK
C	23c2898e-e996-4090-ae8b-188917f20f27	1944	1870	220	217	1	OK
C	24a5d05a-47a0-489a-a23d-d54529016eed	4	0	3	0	1	OK
C	27bfc299-c0dc-4351-9e1a-d8111b297ebd	25	15	4	4	1	OK
C	29d361e9-822f-425a-9d39-10ac1aca8798	57	43	24	22	1	OK
C	2a59a100-2a84-4f75-8fa1-b65f07d96e25	12	12	1	1	1	OK
C	2c2507ac-7c3b-47d5-8c3a-0946a735ff0b	4	4	2	2	1	OK
C	2f623bdd-a2f2-4b37-abac-cb5703041433	0	0	0	0	1	NA_empty
C	2f6b56db-f146-4079-b23b-65f9755911ce	636	76	22	22	1	OK
C	2f8eee46-2595-4a8d-a1d3-6726e216102f	270	48	19	19	1	OK
C	3169106b-5a63-42e7-9997-f7c57a05550b	134	130	63	59	1	OK
C	3327ceb5-d6ab-48c4-ad82-67c41e60b351	1697	1016	140	135	1	OK
C	34fbfb2f-741d-4b44-ba8c-aa9b28ab6f9a	657	460	69	69	1	OK
C	373d8fec-39a7-450b-a648-3df04e21bb28	496	490	31	31	1	OK
C	3a446d62-4a98-42d0-a225-643aaef6cce0	5	0	4	0	1	OK
C	3a506496-4622-46d9-9ec0-11e909ea6fdd	192	72	8	8	1	OK
C	44213247-5190-46d8-9bb4-41f274328155	23	9	2	2	1	OK
C	49e38849-af53-455d-8588-b2fd42836ea4	64	62	23	23	1	OK
C	49eecc56-d6c1-4fb8-af0b-86ea5862f3d5	373	308	32	32	1	OK
C	4b73e14e-d47a-446d-88f7-7830a83d0049	3	0	2	0	1	OK
C	4e229c07-e9e8-4ca8-b6fe-2824286b1a1b	48	23	8	7	1	OK
C	4e8e244f-3e9d-4a64-8bb5-31db6c198800	2	2	1	1	1	OK
C	4ebffa9c-ffa3-482c-97e5-b3bafac62c66	10	4	2	1	1	OK
C	507e1672-294b-4f08-9db5-b76f5b4f12dd	283	224	22	22	1	OK
C	5116a0c7-9381-416f-8255-c530b6a4958a	2126	873	164	161	1	OK
C	53ad0a8d-1559-452d-ae71-f62621215c5b	867	679	48	44	1	OK
C	5428381a-2fc0-406f-9aa7-f9bb15e41a1b	1675	1106	59	59	1	OK
C	5706c400-97a2-4203-b280-81b908c3fe4d	342	245	23	23	1	OK
C	5c1ede59-cf31-44b1-8321-2e8ae3fb4ddb	612	367	36	35	1	OK
C	5c7671d8-9fd1-4b6a-b511-e9159c0aaf41	2	0	1	0	1	OK
C	5dfe7cdf-2dff-49b6-a023-556ef9f5b8a3	1622	1444	153	148	1	OK
C	5e2939ac-00ed-4e94-aab5-f715b5287ed0	1240	1156	136	125	1	OK
C	5eb51ee1-ff7f-4e55-bec9-69301a25d4ca	431	393	30	29	1	OK
C	5fcf08a5-6f94-4122-80e3-d6b4eda2c6e6	303	211	46	41	1	OK
C	60db8048-875e-4c9f-b80f-321b65203639	3	0	2	0	1	OK
C	60f1e6fd-3450-4295-ac46-7c54b341d28a	488	463	23	22	1	OK
C	6341abe3-9d46-4dbd-8ada-bfac6dc49a1b	451	118	50	49	1	OK
C	659b47bf-e1e6-4820-a5a5-8439ab3f9617	201	124	11	10	1	OK
C	68cc5929-518c-446d-84f0-dc42e258f2ba	1316	909	67	62	1	OK
C	694f2eb9-aa8b-4dbc-abea-470812352ab4	27	13	3	2	1	OK
C	6d498666-029d-4a0f-acec-87545c72ad7e	442	434	17	17	1	OK
C	6dbf5aa0-b539-4ef6-b682-fa1d381dee13	91	24	12	6	1	OK
C	6ef2d4ca-13a0-4884-b32f-d64eda1c0f31	3	0	2	0	1	OK
C	6fd3b9fd-5e5a-433b-9c3e-640eecab34ff	2683	1648	204	193	1	OK
C	7035d9ce-9933-48a2-a509-c3d27802340b	8	4	4	4	1	OK
C	70f3b26a-005f-4fb2-9461-c9958da7315b	1615	1232	198	194	1	OK
C	7408019a-7dea-4c5c-ae0a-2a736b179576	61	33	9	9	1	OK
C	74587bb1-2452-4718-9ddb-91dcf04506c7	2	0	1	0	1	OK
C	75adee94-a48c-4f26-a744-a1d6754142e4	933	438	91	91	1	OK
C	76327556-4f2b-4a98-8b7f-e5a3a9a96525	2	2	1	1	1	OK
C	7a154dcd-fd72-4ad7-b610-d17ab8ae0798	334	294	22	20	1	OK
C	7c9bff32-d857-49b6-8b93-600a47ed789d	2	0	1	0	1	OK
C	7dde3f08-0f78-4eeb-b9b8-1741f7e3bd73	627	605	41	40	1	OK
C	80d71c59-cc25-47fa-8d7c-b82269a2c152	3351	675	133	132	1	OK
C	858a8291-7461-40ff-a0a2-a5e18427eba5	1012	491	125	123	1	OK
C	8b3685dc-ac91-4fe9-aba8-948f47e7a7d4	214	52	18	18	1	OK
C	9189ced3-3878-45ee-8f80-71642092f498	48	46	10	8	1	OK
C	92a2a5fc-cf99-472e-b8bf-5f001168fe3a	631	586	51	51	1	OK
C	94aba610-3d8d-44e6-a2f1-851adf205f85	231	219	15	15	1	OK
C	95606158-9ca1-4beb-8b13-769f29589b33	497	110	31	25	1	OK
C	96e42b6e-b48a-428a-9be1-740520686be8	4	2	2	2	1	OK
C	97706886-6b8f-4c10-a3eb-d308b8b91af2	2	0	2	0	1	OK
C	97c5121b-8f28-4157-ae48-6815a4432205	13	13	7	7	1	OK
C	9a8ab1d4-ee06-4a24-823d-6ba1f4d39bf2	599	69	30	30	1	OK
C	9bacaa19-5b50-4f48-b584-e5f2a5f2ce70	25	3	6	2	1	OK
C	9c86f9e5-ff73-468b-8473-daa867f42443	437	425	41	29	1	OK
C	9fd8d0c7-765c-4a05-84b6-cb1879721cc9	15	8	3	3	1	OK
C	a0764698-7c22-4de1-83d4-1ac1a338353a	3591	2001	302	298	1	OK
C	a96e2bb4-63fb-4fe3-8b18-25faa132eebe	143	90	20	20	1	OK
C	a9c72dd6-da55-4bc8-a2dc-b796f8861d03	37	30	15	12	1	OK
C	ae0d7b3b-c9d5-4e69-bcd6-b9330c228afc	82	29	12	12	1	OK
C	b04384c8-7c5f-458c-a489-a82f3db6eddd	82	75	39	37	1	OK
C	b09168df-7710-4cca-ab1a-dd9f63e6e38b	431	428	54	54	1	OK
C	b09e38f3-f448-4b3a-afb3-9067fff8cb75	27	16	3	3	1	OK
C	b2019784-230b-448b-8cc1-7a14c5a89344	2726	1895	215	210	1	OK
C	b4d3d650-e87d-4744-a801-878a3721936d	916	700	154	154	1	OK
C	b73dd933-5bf2-4b1e-8cef-50320983af2b	1092	311	55	54	1	OK
C	ba19e2dd-f6b9-4909-babf-d090c197be01	5	0	4	0	1	OK
C	bb410a17-7f9a-4cdb-a692-d5ae27989308	554	151	20	18	1	OK
C	bbc4435c-5ac5-4a16-8ca9-281fde582d48	2335	1894	195	176	1	OK
C	bbd13c70-9a63-412a-a774-7f7f00666d9b	5	4	2	2	1	OK
C	bd0304c8-bf7b-4e26-ab74-9948cbedb8e3	1495	406	30	28	1	OK
C	bf31a4ee-e284-4127-b68e-05ccca8c4ed5	4	1	4	1	1	OK
C	bffd2c37-cf30-4594-af3b-cec93097edac	63	27	6	6	1	OK
C	c0720b88-c5ef-46b1-9d7d-0ba5a429a4b0	864	564	37	33	1	OK
C	c20ea713-06ed-489f-8879-3ce15c850068	805	800	29	28	1	OK
C	c339c452-38d3-4192-b6fa-c250406adafe	518	308	72	72	1	OK
C	c3bd9dda-62a3-4e39-a8c9-8a6b225f6c48	1464	978	173	170	1	OK
C	c5afd106-f3ae-400a-a60c-d1b64bc36f4d	51	5	2	2	1	OK
C	c6358920-9c60-4140-bc61-37db47392904	1752	686	61	55	1	OK
C	c67b9e16-ea52-43ed-940b-bfbbcc3bc8a3	605	426	47	46	1	OK
C	c97f9916-0335-4977-9fe9-ce8a7641d927	7	0	6	0	1	OK
C	c99db8f9-3e33-461a-8972-7e80968694bf	874	348	21	20	1	OK
C	c9b853be-f86a-4349-9e42-6d40a4f2d0cf	163	57	24	22	1	OK
C	cd013707-5129-4192-91fe-a7562c2c60bd	105	4	5	2	1	OK
C	cdd5685d-c7bf-4f32-b2ac-d71f837ba156	3	0	2	0	1	OK
C	d27f3264-bde5-4b5d-b23e-1d52f01b67df	3	0	2	0	1	OK
C	d3d7e7f3-8d2a-4168-b42e-6432d473e0fe	355	274	39	39	1	OK
C	d45f4eff-d909-4ad0-9a3e-84adc2cd4974	1645	984	251	245	1	OK
C	d5f5e0eb-54d7-4a72-ada5-ed9dcbeb77b9	634	80	36	26	1	OK
C	d85f4ddf-0bfd-4e0a-adcd-a62bcbc7c445	529	69	20	20	1	OK
C	d94db003-7f40-4b7f-b488-38afaf38eeb9	300	288	34	32	1	OK
C	da78509b-70a6-4779-8d40-9d0eb7fa31d7	367	352	59	59	1	OK
C	da984c34-e47c-47f6-9165-552e70c0bdb0	1	1	1	1	1	OK
C	daa2bc8c-775b-4acd-957a-25a47d0dffb4	6	3	3	3	1	OK
C	dcda3221-6230-4b7b-8a5e-39b1cea3da15	2	2	1	1	1	OK
C	ddad560a-9d43-4e35-815a-5982dd328b54	658	182	50	47	1	OK
C	ddf02e9e-c232-4171-a994-efb286ea70cc	141	26	15	12	1	OK
C	df1971d7-70c6-401d-b466-6a2872869b05	121	119	18	18	1	OK
C	e6b0c711-8ee2-4f63-9f44-ffaa08906ea4	4	3	2	2	1	OK
C	e9666f84-6568-4ce2-99bd-566230aa7c08	556	524	62	61	1	OK
C	eacc1083-de2d-4219-8988-76fd0e15cf53	57	25	8	7	1	OK
C	ecb3c78c-8e15-4411-8c16-746282e38107	80	57	7	6	1	OK
C	f25e5e8a-6f12-4eb1-892c-6e5e1e537bac	141	108	12	11	1	OK
C	f6166956-ab00-4854-9bd2-04a8fba7d460	128	122	15	10	1	OK
C	f771598e-344e-46b7-9a24-9c4007c4bc8b	3	0	2	0	1	OK
C	f7a5972f-2e19-45d3-815e-fefc4479cdcc	345	341	15	15	1	OK
C	fa5f14a2-134a-4e64-96f5-f948db323bf5	397	392	13	8	1	OK
C	fab52053-5503-4f89-9a49-492c427ac5d5	826	646	69	68	1	OK
C	fbd2d649-4a0f-4ae4-bef7-763240b21b68	4	2	3	1	1	OK
C	fdd2f418-754e-453f-b91e-dd6452f6bfbf	1218	609	98	94	1	OK
D	2eb2e01a-9610-4648-ad4f-4bfb4c638245	464	346	9	9	1	OK
D	dc3068cc-e82a-4659-8bb1-e1b8b28d6d06	1273	699	101	101	1	OK
D	f2bb643e-8e9c-413c-82cc-47ab1fc85bed	103	90	10	9	1	OK
E	2a1bff76-a67f-4234-82e4-949db29ae909	2	0	1	0	1	OK
E	3f6667af-a71b-4366-b18a-270be4cace52	13	5	8	5	1	OK
E	5b5cf62a-1156-47f4-b5eb-79f73cfc4dbb	2776	1536	80	73	1	OK
E	7e4a532c-5a97-4838-9d91-c708ec7d8295	1607	1142	145	139	1	OK
E	995f2623-118b-4513-8486-fd900427a044	2	0	1	0	1	OK
E	b75f9651-6f88-4b95-9910-7391ab36415c	9	6	7	6	1	OK
F	e1700ad7-cf7a-4838-a9b3-1ac9d8ec65d1	714	685	45	41	1	OK
